model,validation,outer_fold,selection_scope,candidate,selection_metric,score,parameters,status,error
decision_tree,holdout,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
dummy,holdout,1,outer_training_fold,1,balanced_accuracy,0.5,{},completed,
gaussian_nb,holdout,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gradient_boosting,holdout,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
knn,holdout,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
lda,holdout,1,outer_training_fold,1,balanced_accuracy,0.6,{},completed,
logistic_regression,holdout,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
mlp,holdout,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
qda,holdout,1,outer_training_fold,1,balanced_accuracy,,{},failed,LinAlgError: The covariance matrix of class 0 is not full rank. Increase the value of `reg_param` to reduce the collinearity.
random_forest,holdout,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
stacking,holdout,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
svm,holdout,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
decision_tree,k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
decision_tree,k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
decision_tree,k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
dummy,k_fold,1,outer_training_fold,1,balanced_accuracy,0.5,{},completed,
dummy,k_fold,2,outer_training_fold,1,balanced_accuracy,0.5,{},completed,
dummy,k_fold,3,outer_training_fold,1,balanced_accuracy,0.5,{},completed,
gaussian_nb,k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gaussian_nb,k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gaussian_nb,k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gradient_boosting,k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gradient_boosting,k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gradient_boosting,k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
knn,k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
knn,k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
knn,k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
lda,k_fold,1,outer_training_fold,1,balanced_accuracy,0.3830357142857143,{},completed,
lda,k_fold,2,outer_training_fold,1,balanced_accuracy,0.44047619047619047,{},completed,
lda,k_fold,3,outer_training_fold,1,balanced_accuracy,0.6125,{},completed,
logistic_regression,k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
logistic_regression,k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
logistic_regression,k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
mlp,k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
mlp,k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
mlp,k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
qda,k_fold,1,outer_training_fold,1,balanced_accuracy,,{},failed,LinAlgError: The covariance matrix of class 0 is not full rank. Increase the value of `reg_param` to reduce the collinearity.
qda,k_fold,2,outer_training_fold,1,balanced_accuracy,,{},failed,LinAlgError: The covariance matrix of class 0 is not full rank. Increase the value of `reg_param` to reduce the collinearity.
qda,k_fold,3,outer_training_fold,1,balanced_accuracy,,{},failed,LinAlgError: The covariance matrix of class 0 is not full rank. Increase the value of `reg_param` to reduce the collinearity.
random_forest,k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
random_forest,k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
random_forest,k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
stacking,k_fold,1,outer_training_fold,1,balanced_accuracy,0.9642857142857143,{},completed,
stacking,k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
stacking,k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
svm,k_fold,1,outer_training_fold,1,balanced_accuracy,0.9642857142857143,{},completed,
svm,k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
svm,k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
decision_tree,stratified_k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
decision_tree,stratified_k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
decision_tree,stratified_k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
dummy,stratified_k_fold,1,outer_training_fold,1,balanced_accuracy,0.5,{},completed,
dummy,stratified_k_fold,2,outer_training_fold,1,balanced_accuracy,0.5,{},completed,
dummy,stratified_k_fold,3,outer_training_fold,1,balanced_accuracy,0.5,{},completed,
gaussian_nb,stratified_k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gaussian_nb,stratified_k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gaussian_nb,stratified_k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gradient_boosting,stratified_k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gradient_boosting,stratified_k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gradient_boosting,stratified_k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
knn,stratified_k_fold,1,outer_training_fold,1,balanced_accuracy,0.9330357142857143,{},completed,
knn,stratified_k_fold,2,outer_training_fold,1,balanced_accuracy,0.9330357142857143,{},completed,
knn,stratified_k_fold,3,outer_training_fold,1,balanced_accuracy,0.9375,{},completed,
lda,stratified_k_fold,1,outer_training_fold,1,balanced_accuracy,0.5803571428571428,{},completed,
lda,stratified_k_fold,2,outer_training_fold,1,balanced_accuracy,0.5446428571428572,{},completed,
lda,stratified_k_fold,3,outer_training_fold,1,balanced_accuracy,0.5267857142857143,{},completed,
logistic_regression,stratified_k_fold,1,outer_training_fold,1,balanced_accuracy,0.96875,{},completed,
logistic_regression,stratified_k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
logistic_regression,stratified_k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
mlp,stratified_k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
mlp,stratified_k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
mlp,stratified_k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
qda,stratified_k_fold,1,outer_training_fold,1,balanced_accuracy,,{},failed,LinAlgError: The covariance matrix of class 0 is not full rank. Increase the value of `reg_param` to reduce the collinearity.
qda,stratified_k_fold,2,outer_training_fold,1,balanced_accuracy,,{},failed,LinAlgError: The covariance matrix of class 0 is not full rank. Increase the value of `reg_param` to reduce the collinearity.
qda,stratified_k_fold,3,outer_training_fold,1,balanced_accuracy,,{},failed,LinAlgError: The covariance matrix of class 0 is not full rank. Increase the value of `reg_param` to reduce the collinearity.
random_forest,stratified_k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
random_forest,stratified_k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
random_forest,stratified_k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
stacking,stratified_k_fold,1,outer_training_fold,1,balanced_accuracy,0.96875,{},completed,
stacking,stratified_k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
stacking,stratified_k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
svm,stratified_k_fold,1,outer_training_fold,1,balanced_accuracy,0.96875,{},completed,
svm,stratified_k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
svm,stratified_k_fold,3,outer_training_fold,1,balanced_accuracy,0.9642857142857143,{},completed,
decision_tree,group_k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
decision_tree,group_k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
decision_tree,group_k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
dummy,group_k_fold,1,outer_training_fold,1,balanced_accuracy,0.5,{},completed,
dummy,group_k_fold,2,outer_training_fold,1,balanced_accuracy,0.5,{},completed,
dummy,group_k_fold,3,outer_training_fold,1,balanced_accuracy,0.5,{},completed,
gaussian_nb,group_k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gaussian_nb,group_k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gaussian_nb,group_k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gradient_boosting,group_k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gradient_boosting,group_k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
gradient_boosting,group_k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
knn,group_k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
knn,group_k_fold,2,outer_training_fold,1,balanced_accuracy,0.96875,{},completed,
knn,group_k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
lda,group_k_fold,1,outer_training_fold,1,balanced_accuracy,0.625,{},completed,
lda,group_k_fold,2,outer_training_fold,1,balanced_accuracy,0.59375,{},completed,
lda,group_k_fold,3,outer_training_fold,1,balanced_accuracy,0.625,{},completed,
logistic_regression,group_k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
logistic_regression,group_k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
logistic_regression,group_k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
mlp,group_k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
mlp,group_k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
mlp,group_k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,{},completed,
qda,group_k_fold,1,outer_training_fold,1,balanced_accuracy,,{},failed,LinAlgError: The covariance matrix of class 0 is not full rank. Increase the value of `reg_param` to reduce the collinearity.
qda,group_k_fold,2,outer_training_fold,1,balanced_accuracy,,{},failed,LinAlgError: The covariance matrix of class 0 is not full rank. Increase the value of `reg_param` to reduce the collinearity.
